month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/01/01 05:00:00+00,Total,31,Mattapan Line,64613,2084,195
2026/01/01 05:00:00+00,Total,31,Light Rail,3348084,108003,196
2026/01/01 05:00:00+00,Total,31,Silver Line,742268,23944,197
2026/01/01 05:00:00+00,Total,31,Bus,6316878,203770,198
2026/01/01 05:00:00+00,Total,31,All Bus,7059146,227714,199
2026/01/01 05:00:00+00,Total,31,Commuter Rail,2470914,79707,200
2026/04/01 04:00:00+00,Weekday,21,Light Rail,3037464,144641,201
2026/04/01 04:00:00+00,Weekday,21,Silver Line,726075,34575,202
2026/04/01 04:00:00+00,Weekday,21,Bus,6183696,294462,203
2026/04/01 04:00:00+00,Weekday,21,All Bus,6909771,329037,204
2026/04/01 04:00:00+00,Weekday,21,Commuter Rail,2385446,113593,205
2026/04/01 04:00:00+00,Weekday,21,Ferry,91379,4351,206
2026/04/01 04:00:00+00,Weekday,21,The RIDE,90041,4288,207
2026/04/01 04:00:00+00,Saturday,5,Blue Line,225781,45156,208
2026/04/01 04:00:00+00,Saturday,5,Orange Line,605364,121073,209
2026/04/01 04:00:00+00,Saturday,5,Red Line,645963,129193,210
2026/04/01 04:00:00+00,Saturday,5,Heavy Rail,1477108,295422,211
2026/04/01 04:00:00+00,Saturday,5,Green Line,717897,143579,212
2026/04/01 04:00:00+00,Saturday,5,Mattapan Line,9209,1842,213
2026/04/01 04:00:00+00,Saturday,5,Light Rail,727106,145421,214
2026/04/01 04:00:00+00,Saturday,5,Silver Line,129292,25858,215
2026/04/01 04:00:00+00,Saturday,5,Bus,939210,187842,216
2026/04/01 04:00:00+00,Saturday,5,All Bus,1068502,213700,217
2026/04/01 04:00:00+00,Saturday,4,Commuter Rail,159749,39937,218
2026/04/01 04:00:00+00,Saturday,4,Ferry,3355,839,219
2026/04/01 04:00:00+00,Saturday,4,The RIDE,8126,2032,220
2026/04/01 04:00:00+00,Sunday,4,Blue Line,124280,31070,221
2026/04/01 04:00:00+00,Sunday,4,Orange Line,310439,77610,222
2026/04/01 04:00:00+00,Sunday,4,Red Line,343163,85791,223
2026/04/01 04:00:00+00,Sunday,4,Heavy Rail,777882,194470,224
2026/04/01 04:00:00+00,Sunday,4,Green Line,375836,93959,225
2026/04/01 04:00:00+00,Sunday,4,Mattapan Line,5062,1266,226
2026/04/01 04:00:00+00,Sunday,4,Light Rail,380898,95224,227
2026/04/01 04:00:00+00,Sunday,4,Silver Line,76437,19109,228
2026/04/01 04:00:00+00,Sunday,4,Bus,497115,124279,229
2026/04/01 04:00:00+00,Sunday,4,All Bus,573552,143388,230
2026/04/01 04:00:00+00,Sunday,4,Commuter Rail,151770,37942,231
2026/04/01 04:00:00+00,Sunday,4,Ferry,1731,433,232
2026/04/01 04:00:00+00,Sunday,4,The RIDE,8860,2215,233
2026/04/01 04:00:00+00,Total,30,Blue Line,1468612,48954,234
2026/04/01 04:00:00+00,Total,30,Orange Line,4049823,134994,235
2026/04/01 04:00:00+00,Total,30,Red Line,4404379,146813,236
2026/04/01 04:00:00+00,Total,30,Heavy Rail,9922814,330760,237
2026/04/01 04:00:00+00,Total,30,Green Line,4066092,135536,238
2026/04/01 04:00:00+00,Total,30,Mattapan Line,79375,2646,239
2026/04/01 04:00:00+00,Total,30,Light Rail,4145468,138182,240
2026/04/01 04:00:00+00,Total,30,Silver Line,931804,31060,241
2026/04/01 04:00:00+00,Total,30,Bus,7620021,254001,242
2026/04/01 04:00:00+00,Total,30,All Bus,8551825,285061,243
2026/04/01 04:00:00+00,Total,30,Commuter Rail,2809730,93658,244
2026/04/01 04:00:00+00,Total,30,Ferry,99786,3326,245
2026/04/01 04:00:00+00,Total,30,The RIDE,107027,3568,246
2026/03/01 05:00:00+00,Weekday,22,Blue Line,1106889,50313,247
2026/03/01 05:00:00+00,Weekday,22,Orange Line,3049686,138622,248
2026/03/01 05:00:00+00,Weekday,22,Red Line,3448615,156755,249
2026/03/01 05:00:00+00,Weekday,22,Heavy Rail,7605190,345690,250
2026/01/01 05:00:00+00,Total,31,Ferry,60679,1957,251
2026/01/01 05:00:00+00,Total,31,The RIDE,98835,3188,252
2025/12/01 05:00:00+00,Weekday,22,Blue Line,964066,43821,253
2025/12/01 05:00:00+00,Weekday,22,Orange Line,2943068,133776,254
2025/12/01 05:00:00+00,Weekday,22,Red Line,2913914,132451,255
2025/12/01 05:00:00+00,Weekday,22,Heavy Rail,6821047,310048,256
2025/12/01 05:00:00+00,Weekday,22,Green Line,1851002,84136,257
2025/12/01 05:00:00+00,Weekday,22,Mattapan Line,58793,2672,258
2025/12/01 05:00:00+00,Weekday,22,Light Rail,1909796,86809,259
2025/12/01 05:00:00+00,Weekday,22,Silver Line,630643,28666,260
2025/12/01 05:00:00+00,Weekday,22,Bus,5478121,249006,261
2025/12/01 05:00:00+00,Weekday,22,All Bus,6108765,277671,262
2025/12/01 05:00:00+00,Weekday,22,Commuter Rail,2341366,106426,263
2025/12/01 05:00:00+00,Weekday,22,Ferry,66333,3015,264
2025/12/01 05:00:00+00,Weekday,22,The RIDE,81255,3693,265
2025/12/01 05:00:00+00,Saturday,4,Blue Line,129863,32466,266
2025/12/01 05:00:00+00,Saturday,4,Orange Line,355057,88764,267
2025/12/01 05:00:00+00,Saturday,4,Red Line,371059,92765,268
2025/12/01 05:00:00+00,Saturday,4,Heavy Rail,855980,213995,269
2025/12/01 05:00:00+00,Saturday,4,Green Line,288552,72138,270
2025/12/01 05:00:00+00,Saturday,4,Mattapan Line,5928,1482,271
2025/12/01 05:00:00+00,Saturday,4,Light Rail,294480,73620,272
2025/12/01 05:00:00+00,Saturday,4,Silver Line,90951,22738,273
2025/12/01 05:00:00+00,Saturday,4,Bus,598258,149564,274
2025/12/01 05:00:00+00,Saturday,4,All Bus,689209,172302,275
2025/12/01 05:00:00+00,Saturday,4,Commuter Rail,163125,40781,276
2025/12/01 05:00:00+00,Saturday,4,Ferry,910,228,277
2025/12/01 05:00:00+00,Saturday,4,The RIDE,7147,1787,278
2025/12/01 05:00:00+00,Sunday,5,Blue Line,114026,22805,279
2025/12/01 05:00:00+00,Sunday,5,Orange Line,306749,61350,280
2025/12/01 05:00:00+00,Sunday,5,Red Line,310003,62001,281
2025/12/01 05:00:00+00,Sunday,5,Heavy Rail,730778,146156,282
2025/12/01 05:00:00+00,Sunday,5,Green Line,243038,48608,283
2025/12/01 05:00:00+00,Sunday,5,Mattapan Line,5407,1081,284
2025/12/01 05:00:00+00,Sunday,5,Light Rail,248445,49689,285
2025/12/01 05:00:00+00,Sunday,5,Silver Line,81701,16340,286
2025/12/01 05:00:00+00,Sunday,5,Bus,476797,95359,287
2025/12/01 05:00:00+00,Sunday,5,All Bus,558497,111699,288
2025/12/01 05:00:00+00,Sunday,4,Commuter Rail,149297,37324,289
2025/12/01 05:00:00+00,Sunday,4,Ferry,835,209,290
2025/12/01 05:00:00+00,Sunday,4,The RIDE,7036,1759,291
2025/12/01 05:00:00+00,Total,31,Blue Line,1207955,38966,292
2025/12/01 05:00:00+00,Total,31,Orange Line,3604874,116286,293
2025/12/01 05:00:00+00,Total,31,Red Line,3594976,115967,294
2025/12/01 05:00:00+00,Total,31,Heavy Rail,8407805,271220,295
2025/12/01 05:00:00+00,Total,31,Green Line,2382592,76858,296
2025/12/01 05:00:00+00,Total,31,Mattapan Line,70129,2262,297
2025/12/01 05:00:00+00,Total,31,Light Rail,2452721,79120,298
2025/12/01 05:00:00+00,Total,31,Silver Line,803295,25913,299
2025/12/01 05:00:00+00,Total,31,Bus,6553176,211393,300
2026/03/01 05:00:00+00,Weekday,22,Green Line,2831637,128711,301
2026/03/01 05:00:00+00,Weekday,22,Mattapan Line,66930,3042,302
2026/03/01 05:00:00+00,Weekday,22,Light Rail,2898567,131753,303
2026/03/01 05:00:00+00,Weekday,22,Silver Line,697007,31682,304
2026/03/01 05:00:00+00,Weekday,22,Bus,6183570,281071,305
2026/03/01 05:00:00+00,Weekday,22,All Bus,6880577,312754,306
2026/03/01 05:00:00+00,Weekday,22,Commuter Rail,2450529,111388,307
2026/03/01 05:00:00+00,Weekday,22,Ferry,78704,3577,308
2026/03/01 05:00:00+00,Weekday,22,The RIDE,90041,4093,309
2026/03/01 05:00:00+00,Saturday,4,Blue Line,155901,38975,310
2026/03/01 05:00:00+00,Saturday,4,Orange Line,403653,100913,311
2026/03/01 05:00:00+00,Saturday,4,Red Line,465782,116446,312
