month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2022/04/01 04:00:00+00,Total,30,Orange Line,2793194,93106,2773
2022/04/01 04:00:00+00,Total,30,Red Line,3286475,109549,2774
2022/04/01 04:00:00+00,Total,30,Heavy Rail,7098934,236631,2775
2022/04/01 04:00:00+00,Total,30,Green Line,2878507,95950,2776
2022/04/01 04:00:00+00,Total,30,Light Rail,2878507,95950,2777
2022/04/01 04:00:00+00,Total,30,Silver Line,676215,22540,2778
2022/04/01 04:00:00+00,Total,30,Bus,5927733,197591,2779
2022/04/01 04:00:00+00,Total,30,Private Bus,45654,1522,2780
2022/04/01 04:00:00+00,Total,30,All Bus,6649603,221653,2781
2022/04/01 04:00:00+00,Total,30,Commuter Rail,1509267,50309,2782
2022/04/01 04:00:00+00,Total,30,Ferry,52280,1743,2783
2022/04/01 04:00:00+00,Total,30,The RIDE,83670,2789,2784
2022/03/01 05:00:00+00,Weekday,23,Blue Line,913745,39728,2785
2022/03/01 05:00:00+00,Weekday,23,Orange Line,2375081,103264,2786
2022/03/01 05:00:00+00,Weekday,23,Red Line,2838860,123429,2787
2022/03/01 05:00:00+00,Weekday,23,Heavy Rail,6127687,266421,2788
2022/03/01 05:00:00+00,Weekday,23,Green Line,2319955,100868,2789
2022/03/01 05:00:00+00,Weekday,23,Light Rail,2319955,100868,2790
2022/03/01 05:00:00+00,Weekday,23,Silver Line,549718,23901,2791
2022/03/01 05:00:00+00,Weekday,23,Bus,5424495,235848,2792
2022/03/01 05:00:00+00,Weekday,23,Trackless Trolley,45997,2000,2793
2022/03/01 05:00:00+00,Weekday,23,Private Bus,40308,1753,2794
2022/03/01 05:00:00+00,Weekday,23,All Bus,6060518,263501,2795
2022/03/01 05:00:00+00,Weekday,23,Commuter Rail,1330024,57827,2796
2022/03/01 05:00:00+00,Weekday,23,Ferry,45309,1970,2797
2022/03/01 05:00:00+00,Weekday,23,The RIDE,76406,3322,2798
2022/03/01 05:00:00+00,Saturday,4,Blue Line,109287,27322,2799
2022/03/01 05:00:00+00,Saturday,4,Orange Line,222668,55667,2800
2021/11/01 04:00:00+00,Weekday,21,Silver Line,489273,23299,2801
2021/11/01 04:00:00+00,Weekday,21,Bus,4841965,230570,2802
2021/11/01 04:00:00+00,Weekday,21,Trackless Trolley,105075,5004,2803
2021/11/01 04:00:00+00,Weekday,21,Private Bus,36314,1729,2804
2021/11/01 04:00:00+00,Weekday,21,All Bus,5472627,260601,2805
2021/11/01 04:00:00+00,Weekday,21,Commuter Rail,1122143,53435,2806
2021/11/01 04:00:00+00,Weekday,21,Ferry,37799,1800,2807
2021/11/01 04:00:00+00,Weekday,21,The RIDE,59934,2854,2808
2021/11/01 04:00:00+00,Saturday,4,Blue Line,117236,29309,2809
2021/11/01 04:00:00+00,Saturday,4,Orange Line,284461,71115,2810
2021/11/01 04:00:00+00,Saturday,4,Red Line,297735,74434,2811
2021/11/01 04:00:00+00,Saturday,4,Heavy Rail,699431,174858,2812
2021/11/01 04:00:00+00,Saturday,4,Green Line,309569,77392,2813
2021/11/01 04:00:00+00,Saturday,4,Light Rail,309569,77392,2814
2021/11/01 04:00:00+00,Saturday,4,Silver Line,59729,14932,2815
2021/11/01 04:00:00+00,Saturday,4,Bus,529356,132339,2816
2021/11/01 04:00:00+00,Saturday,4,Trackless Trolley,11174,2794,2817
2021/11/01 04:00:00+00,Saturday,4,Private Bus,3718,930,2818
2021/11/01 04:00:00+00,Saturday,4,All Bus,603977,150994,2819
2021/11/01 04:00:00+00,Saturday,4,Commuter Rail,92321,23080,2820
2021/11/01 04:00:00+00,Saturday,4,The RIDE,6460,1615,2821
2021/11/01 04:00:00+00,Sunday,4,Blue Line,88601,22150,2822
2021/11/01 04:00:00+00,Sunday,4,Orange Line,205405,51351,2823
2021/11/01 04:00:00+00,Sunday,4,Red Line,218845,54711,2824
2021/11/01 04:00:00+00,Sunday,4,Heavy Rail,512851,128213,2825
2021/11/01 04:00:00+00,Sunday,4,Green Line,221044,55261,2826
2021/11/01 04:00:00+00,Sunday,4,Light Rail,221044,55261,2827
2021/11/01 04:00:00+00,Sunday,4,Silver Line,62694,15674,2828
2021/11/01 04:00:00+00,Sunday,4,Bus,390119,97530,2829
2021/11/01 04:00:00+00,Sunday,4,Private Bus,2430,608,2830
2021/11/01 04:00:00+00,Sunday,4,All Bus,455244,113811,2831
2021/11/01 04:00:00+00,Sunday,4,Commuter Rail,83975,20994,2832
2021/11/01 04:00:00+00,Sunday,4,The RIDE,5268,1317,2833
2021/11/01 04:00:00+00,Total,30,Blue Line,1023665,34122,2834
2021/11/01 04:00:00+00,Total,30,Orange Line,2695651,89855,2835
2021/11/01 04:00:00+00,Total,30,Red Line,3063867,102129,2836
2021/11/01 04:00:00+00,Total,30,Heavy Rail,6783184,226106,2837
2021/11/01 04:00:00+00,Total,30,Green Line,2698728,89958,2838
2021/11/01 04:00:00+00,Total,30,Light Rail,2698728,89958,2839
2021/11/01 04:00:00+00,Total,30,Silver Line,611697,20390,2840
2021/11/01 04:00:00+00,Total,30,Bus,5761440,192048,2841
2021/11/01 04:00:00+00,Total,30,Trackless Trolley,116249,3875,2842
2021/11/01 04:00:00+00,Total,30,Private Bus,42462,1415,2843
2021/11/01 04:00:00+00,Total,30,All Bus,6531848,217728,2844
2021/11/01 04:00:00+00,Total,30,Commuter Rail,1316818,43894,2845
2021/11/01 04:00:00+00,Total,30,Ferry,40721,1357,2846
2021/11/01 04:00:00+00,Total,30,The RIDE,74533,2484,2847
2021/10/01 04:00:00+00,Weekday,21,Blue Line,876422,41734,2848
2021/10/01 04:00:00+00,Weekday,21,Orange Line,2246083,106956,2849
2021/10/01 04:00:00+00,Weekday,21,Red Line,2676646,127459,2850
2021/07/01 04:00:00+00,Weekday,22,Blue Line,738205,33555,2851
2021/07/01 04:00:00+00,Weekday,22,Orange Line,1714910,77950,2852
2021/07/01 04:00:00+00,Weekday,22,Red Line,2073657,94257,2853
2021/07/01 04:00:00+00,Weekday,22,Heavy Rail,4526772,205762,2854
2021/07/01 04:00:00+00,Weekday,22,Green Line,1677128,76233,2855
2021/07/01 04:00:00+00,Weekday,22,Light Rail,1677128,76233,2856
2021/07/01 04:00:00+00,Weekday,22,Silver Line,437004,19864,2857
2021/07/01 04:00:00+00,Weekday,22,Bus,3926407,178473,2858
2021/07/01 04:00:00+00,Weekday,22,Trackless Trolley,88261,4012,2859
2021/07/01 04:00:00+00,Weekday,22,Private Bus,32201,1464,2860
2021/07/01 04:00:00+00,Weekday,22,All Bus,4483873,203812,2861
2021/07/01 04:00:00+00,Weekday,22,Commuter Rail,649985,29545,2862
2021/07/01 04:00:00+00,Weekday,22,Ferry,53003,2409,2863
2021/07/01 04:00:00+00,Weekday,22,The RIDE,56089,2550,2864
2021/07/01 04:00:00+00,Saturday,5,Blue Line,142504,28501,2865
2021/07/01 04:00:00+00,Saturday,5,Orange Line,302948,60590,2866
2021/07/01 04:00:00+00,Saturday,5,Red Line,359713,71943,2867
2021/07/01 04:00:00+00,Saturday,5,Heavy Rail,805165,161033,2868
2021/07/01 04:00:00+00,Saturday,5,Green Line,321872,64374,2869
2021/07/01 04:00:00+00,Saturday,5,Light Rail,321872,64374,2870
2021/07/01 04:00:00+00,Saturday,5,Silver Line,74876,14975,2871
2021/07/01 04:00:00+00,Saturday,5,Bus,589277,117855,2872
2021/07/01 04:00:00+00,Saturday,5,Trackless Trolley,11540,2308,2873
2021/07/01 04:00:00+00,Saturday,5,Private Bus,4541,908,2874
2021/07/01 04:00:00+00,Saturday,5,All Bus,680234,136047,2875
2021/07/01 04:00:00+00,Saturday,5,Commuter Rail,71084,14217,2876
2021/07/01 04:00:00+00,Sunday,4,Blue Line,82791,20698,2877
2021/07/01 04:00:00+00,Sunday,4,Orange Line,167575,41894,2878
2021/07/01 04:00:00+00,Sunday,4,Red Line,206762,51690,2879
2021/07/01 04:00:00+00,Sunday,4,Heavy Rail,457128,114282,2880
2021/07/01 04:00:00+00,Sunday,4,Green Line,179820,44955,2881
2021/07/01 04:00:00+00,Sunday,4,Light Rail,179820,44955,2882
2021/07/01 04:00:00+00,Sunday,4,Silver Line,64429,16107,2883
2021/07/01 04:00:00+00,Sunday,4,Bus,389854,97464,2884
2021/07/01 04:00:00+00,Sunday,4,Private Bus,2756,689,2885
2021/07/01 04:00:00+00,Sunday,4,All Bus,457039,114260,2886
2021/07/01 04:00:00+00,Sunday,4,Commuter Rail,50463,12616,2887
2021/07/01 04:00:00+00,Total,31,Blue Line,987719,31862,2888
2021/07/01 04:00:00+00,Total,31,Orange Line,2233289,72042,2889
2021/07/01 04:00:00+00,Total,31,Red Line,2692995,86871,2890
2021/07/01 04:00:00+00,Total,31,Heavy Rail,5914003,190774,2891
2021/07/01 04:00:00+00,Total,31,Green Line,2228599,71890,2892
2021/07/01 04:00:00+00,Total,31,Light Rail,2228599,71890,2893
2021/07/01 04:00:00+00,Total,31,Silver Line,576309,18591,2894
2021/07/01 04:00:00+00,Total,31,Bus,4905539,158243,2895
2021/07/01 04:00:00+00,Total,31,Trackless Trolley,99801,3219,2896
2021/07/01 04:00:00+00,Total,31,Private Bus,39498,1274,2897
2021/07/01 04:00:00+00,Total,31,All Bus,5621146,181327,2898
2021/07/01 04:00:00+00,Total,31,Commuter Rail,771532,24888,2899
2021/07/01 04:00:00+00,Total,31,Ferry,68016,2194,2900
2021/09/01 04:00:00+00,Weekday,21,Red Line,2718541,129454,2901
2021/07/01 04:00:00+00,Total,31,The RIDE,67121,2165,2902
2021/06/01 04:00:00+00,Weekday,22,Blue Line,722199,32827,2903
2021/06/01 04:00:00+00,Weekday,22,Orange Line,1612670,73303,2904
2021/06/01 04:00:00+00,Weekday,22,Red Line,1946359,88471,2905
2021/06/01 04:00:00+00,Weekday,22,Heavy Rail,4281229,194601,2906
2021/06/01 04:00:00+00,Weekday,22,Green Line,1352831,61492,2907
2021/06/01 04:00:00+00,Weekday,22,Light Rail,1352831,61492,2908
2021/06/01 04:00:00+00,Weekday,22,Silver Line,418916,19042,2909
2021/06/01 04:00:00+00,Weekday,22,Bus,4039965,183635,2910
2021/06/01 04:00:00+00,Weekday,22,Trackless Trolley,89179,4054,2911
2021/06/01 04:00:00+00,Weekday,22,Private Bus,32503,1477,2912
2021/06/01 04:00:00+00,Weekday,22,All Bus,4580563,208207,2913
2021/06/01 04:00:00+00,Weekday,22,Commuter Rail,615247,27966,2914
2021/06/01 04:00:00+00,Weekday,22,Ferry,39089,1777,2915
2021/06/01 04:00:00+00,Weekday,22,The RIDE,58594,2663,2916
2021/06/01 04:00:00+00,Saturday,4,Blue Line,109860,27465,2917
2021/06/01 04:00:00+00,Saturday,4,Orange Line,222160,55540,2918
2021/06/01 04:00:00+00,Saturday,4,Red Line,273570,68392,2919
2021/06/01 04:00:00+00,Saturday,4,Heavy Rail,605591,151398,2920
2021/06/01 04:00:00+00,Saturday,4,Green Line,214832,53708,2921
2021/06/01 04:00:00+00,Saturday,4,Light Rail,214832,53708,2922
2021/06/01 04:00:00+00,Saturday,4,Silver Line,58376,14594,2923
2021/06/01 04:00:00+00,Saturday,4,Bus,489040,122260,2924
2021/06/01 04:00:00+00,Saturday,4,Trackless Trolley,9189,2297,2925
2021/06/01 04:00:00+00,Saturday,4,Private Bus,3799,950,2926
2021/06/01 04:00:00+00,Saturday,4,All Bus,560405,140101,2927
2021/06/01 04:00:00+00,Saturday,4,Commuter Rail,35777,8944,2928
2021/06/01 04:00:00+00,Sunday,4,Blue Line,87346,21836,2929
2021/06/01 04:00:00+00,Sunday,4,Orange Line,160620,40155,2930
2021/06/01 04:00:00+00,Sunday,4,Red Line,200988,50247,2931
2021/06/01 04:00:00+00,Sunday,4,Heavy Rail,448954,112238,2932
2021/06/01 04:00:00+00,Sunday,4,Green Line,157214,39304,2933
2021/06/01 04:00:00+00,Sunday,4,Light Rail,157214,39304,2934
2021/06/01 04:00:00+00,Sunday,4,Silver Line,49236,12309,2935
2021/06/01 04:00:00+00,Sunday,4,Bus,326992,81748,2936
2021/06/01 04:00:00+00,Sunday,4,Private Bus,2342,586,2937
2021/06/01 04:00:00+00,Sunday,4,All Bus,378570,94642,2938
2021/06/01 04:00:00+00,Sunday,4,Commuter Rail,31557,7889,2939
2021/06/01 04:00:00+00,Total,30,Blue Line,919406,30647,2940
2021/06/01 04:00:00+00,Total,30,Orange Line,1995451,66515,2941
2021/06/01 04:00:00+00,Total,30,Red Line,2420917,80697,2942
2021/06/01 04:00:00+00,Total,30,Heavy Rail,5335774,177859,2943
2021/06/01 04:00:00+00,Total,30,Green Line,1724877,57496,2944
2021/06/01 04:00:00+00,Total,30,Light Rail,1724877,57496,2945
2021/06/01 04:00:00+00,Total,30,Silver Line,526528,17551,2946
2021/06/01 04:00:00+00,Total,30,Bus,4855997,161867,2947
2021/06/01 04:00:00+00,Total,30,Trackless Trolley,98368,3279,2948
2021/06/01 04:00:00+00,Total,30,Private Bus,38644,1288,2949
2021/06/01 04:00:00+00,Total,30,All Bus,5519538,183985,2950
2021/06/01 04:00:00+00,Total,30,Commuter Rail,682581,22753,2951
2021/09/01 04:00:00+00,Weekday,21,Heavy Rail,5738024,273239,2952
2021/10/01 04:00:00+00,Weekday,21,Heavy Rail,5799151,276150,2953
2021/12/01 05:00:00+00,Weekday,23,Private Bus,39250,1707,2954
2021/08/01 04:00:00+00,Weekday,22,Orange Line,1872653,85121,2955
2022/01/01 05:00:00+00,Weekday,20,All Bus,4193075,209654,2956
2021/09/01 04:00:00+00,Weekday,21,Green Line,2283557,108741,2957
2021/10/01 04:00:00+00,Weekday,21,Green Line,2284689,108795,2958
2021/12/01 05:00:00+00,Weekday,23,All Bus,4993146,217093,2959
2021/08/01 04:00:00+00,Weekday,22,Red Line,2253065,102412,2960
2022/01/01 05:00:00+00,Weekday,20,Commuter Rail,729933,36497,2961
2021/09/01 04:00:00+00,Weekday,21,Light Rail,2283557,108741,2962
2021/10/01 04:00:00+00,Weekday,21,Light Rail,2284689,108795,2963
2021/12/01 05:00:00+00,Weekday,23,Commuter Rail,1024813,44557,2964
2021/08/01 04:00:00+00,Weekday,22,Heavy Rail,4916752,223489,2965
2022/01/01 05:00:00+00,Weekday,20,Ferry,16591,830,2966
2021/09/01 04:00:00+00,Weekday,21,Silver Line,487975,23237,2967
2021/10/01 04:00:00+00,Weekday,21,Silver Line,505493,24071,2968
2021/12/01 05:00:00+00,Weekday,23,Ferry,31507,1370,2969
2021/08/01 04:00:00+00,Weekday,22,Green Line,1812627,82392,2970
2022/01/01 05:00:00+00,Weekday,20,The RIDE,53865,2693,2971
2021/12/01 05:00:00+00,Weekday,23,The RIDE,64676,2812,2972
2021/09/01 04:00:00+00,Weekday,21,Bus,4906341,233635,2973
2021/09/01 04:00:00+00,Weekday,21,Trackless Trolley,107969,5141,2974
2021/09/01 04:00:00+00,Weekday,21,Private Bus,36125,1720,2975
2021/09/01 04:00:00+00,Weekday,21,All Bus,5538410,263734,2976
2021/09/01 04:00:00+00,Weekday,21,Commuter Rail,978777,46608,2977
2021/09/01 04:00:00+00,Weekday,21,Ferry,41106,1957,2978
2021/09/01 04:00:00+00,Weekday,21,The RIDE,61257,2917,2979
2021/09/01 04:00:00+00,Saturday,4,Blue Line,134292,33573,2980
2021/09/01 04:00:00+00,Saturday,4,Orange Line,301183,75296,2981
2021/09/01 04:00:00+00,Saturday,4,Red Line,354442,88610,2982
2021/09/01 04:00:00+00,Saturday,4,Heavy Rail,789917,197479,2983
2021/09/01 04:00:00+00,Saturday,4,Green Line,365239,91310,2984
2021/09/01 04:00:00+00,Saturday,4,Light Rail,365239,91310,2985
2021/09/01 04:00:00+00,Saturday,4,Silver Line,66938,16734,2986
2021/09/01 04:00:00+00,Saturday,4,Bus,549174,137294,2987
2021/09/01 04:00:00+00,Saturday,4,Trackless Trolley,11494,2874,2988
2021/09/01 04:00:00+00,Saturday,4,Private Bus,4074,1018,2989
2021/09/01 04:00:00+00,Saturday,4,All Bus,631680,157920,2990
2021/09/01 04:00:00+00,Saturday,4,Commuter Rail,86120,21530,2991
2021/09/01 04:00:00+00,Sunday,4,Blue Line,101652,25413,2992
2021/09/01 04:00:00+00,Sunday,4,Orange Line,217487,54372,2993
2021/09/01 04:00:00+00,Sunday,4,Red Line,260502,65126,2994
2021/09/01 04:00:00+00,Sunday,4,Heavy Rail,579641,144910,2995
2021/09/01 04:00:00+00,Sunday,4,Green Line,274783,68696,2996
2021/09/01 04:00:00+00,Sunday,4,Light Rail,274783,68696,2997
2021/09/01 04:00:00+00,Sunday,4,Silver Line,66938,16734,2998
2021/09/01 04:00:00+00,Sunday,4,Bus,352179,88045,2999
2021/09/01 04:00:00+00,Sunday,4,Private Bus,2993,748,3000
2021/09/01 04:00:00+00,Sunday,4,All Bus,422110,105528,3001
2021/09/01 04:00:00+00,Sunday,4,Commuter Rail,70885,17721,3002
2021/09/01 04:00:00+00,Total,30,Blue Line,1122408,37414,3003
2021/09/01 04:00:00+00,Total,30,Orange Line,2737988,91266,3004
2021/09/01 04:00:00+00,Total,30,Red Line,3403839,113461,3005
2021/09/01 04:00:00+00,Total,30,Heavy Rail,7264235,242141,3006
2021/09/01 04:00:00+00,Total,30,Green Line,3000467,100016,3007
2021/09/01 04:00:00+00,Total,30,Light Rail,3000467,100016,3008
2021/09/01 04:00:00+00,Total,30,Silver Line,628547,20952,3009
2021/09/01 04:00:00+00,Total,30,Bus,5907005,196900,3010
2021/09/01 04:00:00+00,Total,30,Trackless Trolley,119462,3982,3011
2021/09/01 04:00:00+00,Total,30,Private Bus,43192,1440,3012
2021/09/01 04:00:00+00,Total,30,All Bus,6698206,223274,3013
2021/09/01 04:00:00+00,Total,30,Commuter Rail,1135782,37859,3014
2021/09/01 04:00:00+00,Total,30,Ferry,51686,1723,3015
2021/09/01 04:00:00+00,Total,30,The RIDE,75787,2526,3016
2021/08/01 04:00:00+00,Weekday,22,Blue Line,791034,35956,3017
2021/12/01 05:00:00+00,Saturday,4,Blue Line,89255,22314,3018
2022/01/01 05:00:00+00,Saturday,4,Blue Line,67513,16878,3019
2021/08/01 04:00:00+00,Weekday,22,Light Rail,1812627,82392,3020
2022/01/01 05:00:00+00,Saturday,4,Orange Line,154754,38688,3021
2021/12/01 05:00:00+00,Saturday,4,Orange Line,210365,52591,3022
2021/10/01 04:00:00+00,Weekday,21,Bus,4976726,236987,3023
2021/10/01 04:00:00+00,Weekday,21,Trackless Trolley,104872,4994,3024
2021/10/01 04:00:00+00,Weekday,21,Private Bus,36319,1729,3025
2021/10/01 04:00:00+00,Weekday,21,All Bus,5623410,267781,3026
2021/10/01 04:00:00+00,Weekday,21,Commuter Rail,1086358,51731,3027
2021/10/01 04:00:00+00,Weekday,21,Ferry,36871,1756,3028
2021/10/01 04:00:00+00,Weekday,21,The RIDE,64281,3061,3029
2021/10/01 04:00:00+00,Saturday,5,Blue Line,162825,32565,3030
2021/10/01 04:00:00+00,Saturday,5,Orange Line,391042,78208,3031
2021/10/01 04:00:00+00,Saturday,5,Red Line,431746,86349,3032
2021/10/01 04:00:00+00,Saturday,5,Heavy Rail,985613,197123,3033
2021/10/01 04:00:00+00,Saturday,5,Green Line,439490,87898,3034
2021/10/01 04:00:00+00,Saturday,5,Light Rail,439490,87898,3035
2021/10/01 04:00:00+00,Saturday,5,Silver Line,80294,16059,3036
2021/10/01 04:00:00+00,Saturday,5,Bus,674849,134970,3037
2021/10/01 04:00:00+00,Saturday,5,Trackless Trolley,15742,3148,3038
2021/10/01 04:00:00+00,Saturday,5,Private Bus,5151,1030,3039
2021/10/01 04:00:00+00,Saturday,5,All Bus,776036,155207,3040
2021/10/01 04:00:00+00,Saturday,5,Commuter Rail,149237,29847,3041
2021/10/01 04:00:00+00,Sunday,5,Blue Line,124325,24865,3042
2021/10/01 04:00:00+00,Sunday,5,Orange Line,281972,56394,3043
2021/10/01 04:00:00+00,Sunday,5,Red Line,320135,64027,3044
2021/10/01 04:00:00+00,Sunday,5,Heavy Rail,726432,145286,3045
2021/10/01 04:00:00+00,Sunday,5,Green Line,323740,64748,3046
2021/10/01 04:00:00+00,Sunday,5,Light Rail,323740,64748,3047
2021/10/01 04:00:00+00,Sunday,5,Silver Line,70682,14136,3048
2021/10/01 04:00:00+00,Sunday,5,Bus,441251,88250,3049
2021/10/01 04:00:00+00,Sunday,5,Private Bus,3005,601,3050
2021/10/01 04:00:00+00,Sunday,5,All Bus,514938,102988,3051
2021/10/01 04:00:00+00,Sunday,5,Commuter Rail,126000,25200,3052
2021/10/01 04:00:00+00,Total,31,Blue Line,1163572,37535,3053
2021/10/01 04:00:00+00,Total,31,Orange Line,2919098,94164,3054
2021/10/01 04:00:00+00,Total,31,Red Line,3428527,110598,3055
2021/10/01 04:00:00+00,Total,31,Heavy Rail,7511197,242297,3056
2021/10/01 04:00:00+00,Total,31,Green Line,3047920,98320,3057
2021/10/01 04:00:00+00,Total,31,Light Rail,3047920,98320,3058
2021/10/01 04:00:00+00,Total,31,Silver Line,656469,21176,3059
2021/10/01 04:00:00+00,Total,31,Bus,6092826,196543,3060
2021/10/01 04:00:00+00,Total,31,Trackless Trolley,120614,3891,3061
2021/10/01 04:00:00+00,Total,31,Private Bus,44476,1435,3062
2021/10/01 04:00:00+00,Total,31,All Bus,6914385,223045,3063
2021/10/01 04:00:00+00,Total,31,Commuter Rail,1361595,43922,3064
2021/10/01 04:00:00+00,Total,31,Ferry,43954,1418,3065
2021/10/01 04:00:00+00,Total,31,The RIDE,78976,2548,3066
2021/09/01 04:00:00+00,Weekday,21,Blue Line,858551,40883,3067
2021/09/01 04:00:00+00,Weekday,21,Orange Line,2160932,102902,3068
2021/08/01 04:00:00+00,Weekday,22,Silver Line,468132,21279,3069
2022/01/01 05:00:00+00,Saturday,4,Red Line,163398,40850,3070
2021/12/01 05:00:00+00,Saturday,4,Red Line,212319,53080,3071
2021/08/01 04:00:00+00,Weekday,22,Bus,4239478,192704,3072
2021/08/01 04:00:00+00,Weekday,22,Trackless Trolley,89027,4047,3073
2021/08/01 04:00:00+00,Weekday,22,Private Bus,34530,1570,3074
2021/08/01 04:00:00+00,Weekday,22,All Bus,4831167,219598,3075
2021/08/01 04:00:00+00,Weekday,22,Commuter Rail,736562,33480,3076
2021/08/01 04:00:00+00,Weekday,22,Ferry,50021,2274,3077
2021/08/01 04:00:00+00,Weekday,22,The RIDE,56713,2578,3078
2021/08/01 04:00:00+00,Saturday,4,Blue Line,125821,31455,3079
2021/08/01 04:00:00+00,Saturday,4,Orange Line,260290,65072,3080
2021/08/01 04:00:00+00,Saturday,4,Red Line,307025,76756,3081
2021/08/01 04:00:00+00,Saturday,4,Heavy Rail,693137,173284,3082
2021/08/01 04:00:00+00,Saturday,4,Green Line,267202,66800,3083
2021/08/01 04:00:00+00,Saturday,4,Light Rail,267202,66800,3084
2021/08/01 04:00:00+00,Saturday,4,Silver Line,62860,15715,3085
2021/08/01 04:00:00+00,Saturday,4,Bus,515243,128811,3086
2021/08/01 04:00:00+00,Saturday,4,Trackless Trolley,11146,2786,3087
2021/08/01 04:00:00+00,Saturday,4,Private Bus,3907,977,3088
2021/08/01 04:00:00+00,Saturday,4,All Bus,593157,148289,3089
2021/08/01 04:00:00+00,Saturday,4,Commuter Rail,63511,15878,3090
2021/08/01 04:00:00+00,Sunday,5,Blue Line,109827,21965,3091
2021/08/01 04:00:00+00,Sunday,5,Orange Line,218937,43787,3092
2021/08/01 04:00:00+00,Sunday,5,Red Line,265071,53014,3093
2021/08/01 04:00:00+00,Sunday,5,Heavy Rail,593835,118767,3094
2021/08/01 04:00:00+00,Sunday,5,Green Line,229079,45816,3095
2021/08/01 04:00:00+00,Sunday,5,Light Rail,229079,45816,3096
2021/08/01 04:00:00+00,Sunday,5,Silver Line,62850,12570,3097
2021/08/01 04:00:00+00,Sunday,5,Bus,388904,77781,3098
2021/08/01 04:00:00+00,Sunday,5,Private Bus,2688,538,3099
2021/08/01 04:00:00+00,Sunday,5,All Bus,454441,90888,3100
2021/08/01 04:00:00+00,Sunday,5,Commuter Rail,60391,12078,3101
2021/08/01 04:00:00+00,Total,31,Blue Line,1026682,33119,3102
2021/08/01 04:00:00+00,Total,31,Orange Line,2351879,75867,3103
2021/08/01 04:00:00+00,Total,31,Red Line,2825162,91134,3104
2021/08/01 04:00:00+00,Total,31,Heavy Rail,6203723,200120,3105
2021/08/01 04:00:00+00,Total,31,Green Line,2308907,74481,3106
2021/08/01 04:00:00+00,Total,31,Light Rail,2308907,74481,3107
2021/08/01 04:00:00+00,Total,31,Silver Line,593842,19156,3108
2021/08/01 04:00:00+00,Total,31,Bus,5143625,165923,3109
2021/08/01 04:00:00+00,Total,31,Trackless Trolley,100172,3231,3110
2021/08/01 04:00:00+00,Total,31,Private Bus,41125,1327,3111
2021/08/01 04:00:00+00,Total,31,All Bus,5878764,189638,3112
2021/08/01 04:00:00+00,Total,31,Commuter Rail,860464,27757,3113
2021/08/01 04:00:00+00,Total,31,Ferry,63607,2052,3114
2021/08/01 04:00:00+00,Total,31,The RIDE,67155,2166,3115
2022/01/01 05:00:00+00,Saturday,4,Heavy Rail,385664,96416,3116
2022/01/01 05:00:00+00,Saturday,4,Green Line,174779,43695,3117
2022/01/01 05:00:00+00,Saturday,4,Light Rail,174779,43695,3118
2021/12/01 05:00:00+00,Saturday,4,Heavy Rail,511938,127984,3119
2022/01/01 05:00:00+00,Saturday,4,Silver Line,53255,13314,3120
2021/12/01 05:00:00+00,Saturday,4,Green Line,233564,58391,3121
2022/01/01 05:00:00+00,Saturday,4,Bus,424312,106078,3122
2021/12/01 05:00:00+00,Saturday,4,Light Rail,233564,58391,3123
2022/01/01 05:00:00+00,Saturday,4,Trackless Trolley,9334,2334,3124
2021/12/01 05:00:00+00,Saturday,4,Silver Line,75267,18817,3125
2022/01/01 05:00:00+00,Saturday,4,Private Bus,3752,938,3126
2021/12/01 05:00:00+00,Saturday,4,Bus,577059,144265,3127
2022/01/01 05:00:00+00,Saturday,4,All Bus,490653,122663,3128
2021/12/01 05:00:00+00,Saturday,4,Trackless Trolley,11782,2946,3129
2022/01/01 05:00:00+00,Saturday,4,Commuter Rail,46017,11504,3130
2021/12/01 05:00:00+00,Saturday,4,Private Bus,3757,939,3131
2022/01/01 05:00:00+00,Sunday,5,Blue Line,76144,15229,3132
2021/12/01 05:00:00+00,Saturday,4,All Bus,667865,166966,3133
2022/01/01 05:00:00+00,Sunday,5,Orange Line,177713,35543,3134
2021/12/01 05:00:00+00,Saturday,4,Commuter Rail,62655,15664,3135
2022/01/01 05:00:00+00,Sunday,5,Red Line,198745,39749,3136
2021/12/01 05:00:00+00,Saturday,4,The RIDE,5772,1443,3137
2022/01/01 05:00:00+00,Sunday,5,Heavy Rail,452602,90520,3138
2021/12/01 05:00:00+00,Sunday,4,Blue Line,80798,20200,3139
2022/01/01 05:00:00+00,Sunday,5,Green Line,209868,41974,3140
2021/12/01 05:00:00+00,Sunday,4,Orange Line,180268,45067,3141
2022/01/01 05:00:00+00,Sunday,5,Light Rail,209868,41974,3142
2021/12/01 05:00:00+00,Sunday,4,Red Line,188170,47042,3143
2022/01/01 05:00:00+00,Sunday,5,Silver Line,60361,12072,3144
2021/12/01 05:00:00+00,Sunday,4,Heavy Rail,449236,112309,3145
2022/01/01 05:00:00+00,Sunday,5,Bus,390106,78021,3146
2021/12/01 05:00:00+00,Sunday,4,Green Line,199521,49880,3147
2022/01/01 05:00:00+00,Sunday,5,Private Bus,2290,458,3148
2021/12/01 05:00:00+00,Sunday,4,Light Rail,199521,49880,3149
2022/01/01 05:00:00+00,Sunday,5,All Bus,452757,90551,3150
2021/12/01 05:00:00+00,Sunday,4,Silver Line,57834,14458,3151
